word,reliable,unreliable,average reliable,avg unrelabie
2016,955,4144,-3189,0.812708374
0,61,806,-745,0.929642445
election,1333,2066,-733,0.607825831
emails,356,924,-568,0.721875
massive,297,777,-480,0.723463687
mainstream,360,809,-449,0.692044482
war,952,1382,-430,0.592116538
voting,432,833,-401,0.658498024
article,660,1049,-389,0.613809245
truth,308,696,-388,0.693227092
fact,1096,1482,-386,0.574864236
via,403,786,-383,0.661059714
corrupt,96,438,-342,0.820224719
towards,192,532,-340,0.73480663
actually,1211,1539,-328,0.559636364
due,514,841,-327,0.620664207
candidate,780,1087,-307,0.582217461
please,128,429,-301,0.770197487
source,460,746,-286,0.618573798
destroy,191,467,-276,0.709726444
propaganda,135,400,-265,0.747663551
server,121,380,-259,0.758483034
completely,468,717,-249,0.605063291
ongoing,189,436,-247,0.6976
wars,129,369,-240,0.740963855
regime,156,395,-239,0.716878403
nuclear,401,626,-225,0.609542356
elections,312,537,-225,0.632508834
explains,115,333,-218,0.743303571
following,832,1048,-216,0.557446809
lies,205,421,-216,0.672523962
corruption,254,469,-215,0.64868603
thus,176,385,-209,0.68627451
today,579,787,-208,0.5761347
destruction,138,346,-208,0.714876033
proven,116,323,-207,0.735763098
email,997,1200,-203,0.546199363
voter,180,382,-202,0.679715302
sources,299,497,-198,0.624371859
becomes,336,528,-192,0.611111111
evil,93,285,-192,0.753968254
pm,14,205,-191,0.936073059
upon,500,689,-189,0.579478553
planet,73,261,-188,0.781437126
link,245,431,-186,0.637573964
rigged,61,246,-185,0.801302932
military,1160,1343,-183,0.536556133
entire,851,1029,-178,0.547340426
fraud,178,355,-177,0.666041276
why,1659,1834,-175,0.5250501
truly,340,513,-173,0.6014068
existence,137,308,-171,0.692134831
ten,128,298,-170,0.699530516
es,7,172,-165,0.960893855
system,1049,1213,-164,0.536251105
world,1836,1999,-163,0.52125163
obvious,264,426,-162,0.617391304
alternative,262,424,-162,0.618075802
electoral,209,370,-161,0.639032815
elite,240,400,-160,0.625
stated,387,546,-159,0.585209003
indeed,186,345,-159,0.649717514
al,31,190,-159,0.859728507
regarding,318,470,-152,0.596446701
forget,190,342,-152,0.642857143
se,9,161,-152,0.947058824
post,610,761,-151,0.555069292
reality,455,606,-151,0.571159284
literally,177,325,-148,0.647410359
permission,161,309,-148,0.657446809
que,11,159,-148,0.935294118
dollar,131,277,-146,0.678921569
corporations,109,255,-146,0.700549451
y,12,158,-146,0.929411765
destroying,102,247,-145,0.70773639
probe,48,193,-145,0.800829876
currently,543,687,-144,0.558536585
secret,364,508,-144,0.582568807
overthrow,44,187,-143,0.80952381
un,11,153,-142,0.932926829
peaceful,140,277,-137,0.664268585
elites,89,225,-136,0.71656051
el,14,149,-135,0.914110429
means,1056,1190,-134,0.52983081
happening,280,413,-133,0.595959596
die,198,331,-133,0.625708885
establishment,316,448,-132,0.586387435
la,82,213,-131,0.722033898
banking,98,228,-130,0.699386503
humanity,68,198,-130,0.744360902
pipeline,75,204,-129,0.731182796
self,40,169,-129,0.80861244
para,5,134,-129,0.964028777
launched,248,375,-127,0.601926164
launch,182,308,-126,0.628571429
en,101,226,-125,0.691131498
scenario,60,185,-125,0.755102041
weapons,433,557,-124,0.562626263
con,19,143,-124,0.882716049
destroyed,229,352,-123,0.605851979
therefore,155,278,-123,0.642032333
reveals,111,233,-122,0.677325581
ignore,164,285,-121,0.634743875
invasion,100,220,-120,0.6875
shall,91,211,-120,0.698675497
results,510,629,-119,0.552238806
articles,217,336,-119,0.607594937
examples,122,240,-118,0.662983425
absolute,95,213,-118,0.691558442
oil,343,458,-115,0.571785268
contain,162,277,-115,0.630979499
por,4,119,-115,0.967479675
ha,3,118,-115,0.975206612
facts,241,355,-114,0.595637584
prior,226,340,-114,0.600706714
los,7,121,-114,0.9453125
vote,1077,1190,-113,0.524922805
attempting,168,281,-113,0.625835189
exclusively,111,224,-113,0.668656716
beings,32,143,-111,0.817142857
una,2,113,-111,0.982608696
interesting,270,380,-110,0.584615385
absolutely,316,425,-109,0.573549258
crimes,304,413,-109,0.576011158
exposed,251,360,-109,0.589198036
aggression,47,156,-109,0.768472906
simply,937,1044,-107,0.527006562
below,338,445,-107,0.568326948
wonder,233,340,-107,0.593368237
steal,81,187,-106,0.697761194
stupid,69,175,-106,0.717213115
nation,596,701,-105,0.540478026
relevant,147,252,-105,0.631578947
las,2,107,-105,0.981651376
corporate,443,547,-104,0.552525253
extremely,341,445,-104,0.566157761
machines,98,202,-104,0.673333333
continues,421,524,-103,0.554497354
interests,417,520,-103,0.554962647
lie,175,278,-103,0.613686534
contains,102,205,-103,0.667752443
reason,911,1013,-102,0.526507277
yourself,216,318,-102,0.595505618
army,185,287,-102,0.608050847
western,180,282,-102,0.61038961
i,23,125,-102,0.844594595
supposedly,114,215,-101,0.653495441
dirty,77,178,-101,0.698039216
su,2,103,-101,0.980952381
TRUE,645,745,-100,0.535971223
natural,395,495,-100,0.556179775
governments,303,402,-99,0.570212766
wins,168,267,-99,0.613793103
quote,91,190,-99,0.676156584
am,1036,1134,-98,0.522580645
machine,189,286,-97,0.602105263
endless,108,204,-96,0.653846154
earth,95,191,-96,0.667832168
realize,290,385,-95,0.57037037
shocking,90,185,-95,0.672727273
toxic,96,190,-94,0.664335664
naturally,61,155,-94,0.717592593
8th,12,106,-94,0.898305085
happens,347,440,-93,0.559085133
totally,266,359,-93,0.5744
masses,34,127,-93,0.788819876
consciousness,31,124,-93,0.8
